,om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
7719,494,1964,7,7,7/7/64,18:45:00,3,TX,48,57,1,0,0,3,0,31.42,-103.62,0,0,0.1,10,1,1,1,389,0,0,0,1
7742,517,1964,7,17,7/17/64,23:44:00,3,TX,48,58,0,0,0,0,0,27.78,-97.67,0,0,1,20,1,1,1,355,0,0,0,0
7743,518,1964,7,18,7/18/64,9:15:00,3,TX,48,59,0,0,0,2,0,28.83,-95.93,0,0,0.2,17,1,1,1,321,0,0,0,0
7750,525,1964,7,22,7/22/64,17:15:00,3,TX,48,60,1,0,0,4,0,32.38,-100.83,0,0,2,200,1,1,1,335,0,0,0,0
7753,528,1964,7,25,7/25/64,16:00:00,3,TX,48,61,1,0,0,3,0,30.93,-95.37,0,0,0.2,13,1,1,1,455,0,0,0,0
7758,533,1964,7,27,7/27/64,15:00:00,3,TX,48,62,1,0,0,2,0,33.5,-97.27,0,0,0.1,10,1,1,1,97,0,0,0,1
7759,534,1964,7,27,7/27/64,15:00:00,3,TX,48,63,2,1,0,2,0,31.27,-100.8,0,0,1,20,1,1,1,235,0,0,0,0
7766,541,1964,7,29,7/29/64,17:00:00,3,TX,48,64,1,0,0,3,0,33.63,-97.23,0,0,0.1,10,1,1,1,97,0,0,0,0
7771,546,1964,8,5,8/5/64,18:20:00,3,TX,48,65,2,6,0,5,0,29.7,-93.87,0,0,0.2,33,1,1,1,245,0,0,0,0
7779,554,1964,8,12,8/12/64,19:20:00,3,TX,48,66,0,0,0,3,0,32.9,-94.72,0,0,0.2,200,1,1,1,343,0,0,0,0
7786,561,1964,8,19,8/19/64,18:30:00,3,TX,48,67,2,0,0,1,0,35.68,-101.97,0,0,0.5,33,1,1,1,341,0,0,0,0
7810,585,1964,8,24,8/24/64,15:45:00,3,TX,48,68,1,0,0,4,0,31.72,-95.63,31.73,-95.58,3.6,880,1,1,1,1,0,0,0,0
7811,586,1964,8,25,8/25/64,15:20:00,3,TX,48,69,1,0,0,0,0,30.72,-102.88,30.78,-102.78,7.6,27,1,1,1,371,0,0,0,0
7813,588,1964,8,26,8/26/64,21:45:00,3,TX,48,70,2,0,0,4,0,33.78,-97.72,0,0,0.1,17,1,1,1,337,0,0,0,0
7818,593,1964,8,27,8/27/64,19:30:00,3,TX,48,71,0,0,0,0,0,32.22,-98.68,0,0,0.1,67,1,1,1,133,0,0,0,0
7864,639,1964,9,16,9/16/64,13:50:00,3,TX,48,72,1,0,0,3,0,27.65,-98.08,0,0,0.2,33,1,1,1,249,0,0,0,0
7865,640,1964,9,21,9/21/64,10:56:00,3,TX,48,73,0,0,0,0,0,32.8,-97.45,0,0,0.1,17,1,1,1,439,0,0,0,0
7871,646,1964,9,26,9/26/64,18:40:00,3,TX,48,74,1,0,0,3,0,34,-102.1,34.03,-102.03,4.7,23,1,1,1,189,0,0,0,0
7894,669,1964,10,26,10/26/64,22:00:00,3,TX,48,75,1,0,0,4,0,29.37,-98.6,0,0,0.1,100,1,1,1,29,0,0,0,0
7902,677,1964,11,19,11/19/64,0:01:00,3,TX,48,76,0,0,0,2,0,32.33,-97.5,0,0,1,50,1,1,1,251,0,0,0,0
7903,678,1964,11,19,11/19/64,6:24:00,3,TX,48,77,1,0,0,4,0,31.22,-94.73,0,0,0.2,33,1,1,1,5,0,0,0,0
7907,682,1964,11,19,11/19/64,16:45:00,3,TX,48,78,1,0,0,4,0,31.03,-96.1,0,0,0.3,100,1,1,1,289,313,0,0,0
7932,3,1965,1,21,1/21/65,23:00:00,3,TX,48,1,2,0,0,4,0,29.62,-96.88,0,0,0.8,50,1,1,1,149,0,0,0,0
7934,5,1965,1,22,1/22/65,8:00:00,3,TX,48,2,2,0,0,3,0,29.58,-94.32,0,0,0.1,67,1,1,1,419,0,0,0,0
7961,32,1965,2,9,2/9/65,15:00:00,3,TX,48,3,0,0,0,0,0,29.53,-95.17,0,0,0.1,17,1,1,1,201,0,0,0,0
7964,35,1965,2,11,2/11/65,10:15:00,3,TX,48,4,3,0,0,5,0,31.62,-94.68,31.97,-94.08,42.7,200,1,1,1,347,419,0,0,0
7965,36,1965,2,11,2/11/65,10:30:00,3,TX,48,5,2,1,0,5,0,31.5,-95.05,31.5,-95,3,10,1,1,1,73,0,0,0,0
7966,37,1965,2,11,2/11/65,10:30:00,3,TX,48,6,2,0,0,5,0,31.83,-94.53,32.12,-94.12,31.3,10,1,1,1,347,401,419,365,0
7967,38,1965,2,11,2/11/65,10:30:00,3,TX,48,7,2,0,0,4,0,32.07,-94.43,32.28,-94.03,27.8,117,1,1,1,365,0,0,0,0
7993,64,1965,3,16,3/16/65,21:00:00,3,TX,48,8,3,1,0,4,0,32,-96.9,32.05,-96.73,11.1,50,1,1,1,217,349,0,0,0
8015,86,1965,3,30,3/30/65,5:40:00,3,TX,48,9,1,0,0,4,0,27.72,-97.85,27.77,-97.75,7.1,17,1,1,1,355,0,0,0,0
8016,87,1965,3,30,3/30/65,8:00:00,3,TX,48,10,1,0,0,0,0,31.23,-94.87,0,0,2,10,1,1,1,455,0,0,0,0
8107,178,1965,4,14,4/14/65,14:00:00,3,TX,48,11,0,0,0,0,0,32.8,-100.42,0,0,0.5,10,1,1,1,151,0,0,0,0
8108,179,1965,4,14,4/14/65,15:00:00,3,TX,48,12,1,0,0,0,0,33.77,-100.28,0,0,0.5,23,1,1,1,269,0,0,0,0
8109,180,1965,4,14,4/14/65,15:00:00,3,TX,48,14,3,0,0,0,0,33.87,-97.67,0,0,1,200,1,1,1,337,0,0,0,0
8111,182,1965,4,14,4/14/65,17:30:00,3,TX,48,13,2,0,0,5,0,33.05,-98.07,0,0,2,10,1,1,1,237,0,0,0,0
8116,187,1965,4,15,4/15/65,3:45:00,3,TX,48,15,2,0,0,0,0,29.85,-97.52,29.9,-97.42,6.9,50,1,1,1,55,0,0,0,0
8124,195,1965,4,19,4/19/65,15:50:00,3,TX,48,16,3,3,1,4,0,29.45,-96,0,0,0.2,150,1,1,1,157,0,0,0,0
8125,196,1965,4,19,4/19/65,18:15:00,3,TX,48,17,3,0,0,0,0,26.7,-98.33,0,0,1.5,30,1,1,1,215,0,0,0,0
8141,212,1965,5,4,5/4/65,18:40:00,3,TX,48,18,2,0,0,3,0,35.2,-101.97,0,0,1,20,1,1,1,375,0,0,0,0
8142,213,1965,5,4,5/4/65,20:00:00,3,TX,48,19,0,0,0,3,0,36.08,-102.22,36.02,-102.22,4.6,33,1,1,1,205,0,0,0,0
8143,214,1965,5,4,5/4/65,20:04:00,3,TX,48,20,2,0,0,4,0,35.67,-101.42,0,0,0.5,100,1,1,1,233,0,0,0,0
8148,219,1965,5,5,5/5/65,17:00:00,3,TX,48,21,0,0,0,0,0,29.15,-100.55,0,0,0.1,10,1,1,1,271,0,0,0,0
8158,229,1965,5,5,5/5/65,21:00:00,3,TX,48,22,1,0,0,0,0,32.05,-100.1,0,0,0.1,10,1,1,1,399,441,0,0,0
8181,252,1965,5,7,5/7/65,18:50:00,3,TX,48,23,0,0,0,4,0,35.37,-100.25,0,0,0.8,17,1,1,1,483,0,0,0,0
8222,293,1965,5,9,5/9/65,14:00:00,3,TX,48,24,2,0,0,4,0,31.93,-97.33,0,0,0.1,17,1,1,1,217,0,0,0,0
8224,295,1965,5,9,5/9/65,16:00:00,3,TX,48,25,2,0,0,4,0,32.58,-95.52,0,0,0.3,33,1,1,1,423,0,0,0,0
8225,296,1965,5,9,5/9/65,20:00:00,3,TX,48,26,2,0,0,4,0,32.38,-95.83,0,0,2.5,10,1,1,1,467,0,0,0,0
8226,297,1965,5,10,5/10/65,15:15:00,3,TX,48,27,2,0,0,5,0,32.1,-96.47,0,0,8,100,1,1,1,349,0,0,0,0
8227,298,1965,5,12,5/12/65,13:30:00,3,TX,48,28,2,0,0,4,0,33.3,-97.78,0,0,0.1,17,1,1,1,497,0,0,0,0
8229,300,1965,5,12,5/12/65,15:00:00,3,TX,48,29,0,0,0,0,0,30.32,-104.32,0,0,0.1,10,1,1,1,377,0,0,0,0
8230,301,1965,5,12,5/12/65,16:30:00,3,TX,48,30,2,1,0,3,0,32,-99.95,32,-99.88,4.1,440,1,1,1,399,0,0,0,0
8231,302,1965,5,13,5/13/65,14:00:00,3,TX,48,31,0,0,0,0,0,31.4,-102.38,0,0,1,17,1,1,1,103,0,0,0,0
8232,303,1965,5,13,5/13/65,14:45:00,3,TX,48,32,1,0,0,3,0,32.28,-102.83,32.32,-102.57,15.8,120,1,1,1,3,0,0,0,0
8233,304,1965,5,13,5/13/65,16:15:00,3,TX,48,33,0,0,0,0,0,34.48,-101.77,0,0,0.2,33,1,1,1,437,0,0,0,0
8234,305,1965,5,13,5/13/65,16:20:00,3,TX,48,34,0,0,0,0,0,32.58,-102.63,0,0,0.1,33,1,1,1,165,0,0,0,0
8235,306,1965,5,13,5/13/65,16:20:00,3,TX,48,35,2,0,0,0,0,33.42,-101.83,0,0,0.5,10,1,1,1,303,0,0,0,0
8236,307,1965,5,13,5/13/65,18:55:00,3,TX,48,36,0,0,0,0,0,32.58,-101.12,0,0,0.2,17,1,1,1,415,0,0,0,0
8256,327,1965,5,15,5/15/65,14:40:00,3,TX,48,37,1,0,0,0,0,32.33,-100.67,0,0,1,100,1,1,1,353,0,0,0,0
8261,332,1965,5,15,5/15/65,16:00:00,3,TX,48,38,3,2,0,5,0,32.45,-99.73,32.58,-99.72,9.3,100,1,1,1,253,0,0,0,0
8262,333,1965,5,15,5/15/65,16:00:00,3,TX,48,39,1,0,0,0,0,32.25,-100.43,32.25,-100.42,0.1,100,1,1,1,353,0,0,0,0
8263,334,1965,5,15,5/15/65,17:30:00,3,TX,48,40,2,0,0,2,0,27.83,-97.23,0,0,0.1,17,1,1,1,409,0,0,0,0
8266,337,1965,5,15,5/15/65,21:00:00,3,TX,48,41,2,0,0,0,0,31.77,-99.35,0,0,0.1,10,1,1,1,83,0,0,0,0
8267,338,1965,5,15,5/15/65,21:00:00,3,TX,48,42,2,0,0,0,0,31.77,-99.35,0,0,0.1,10,1,1,1,83,0,0,0,0
8268,339,1965,5,15,5/15/65,23:40:00,3,TX,48,43,3,0,0,5,0,31.97,-102.1,0,0,1,10,1,1,1,329,0,0,0,0
8269,340,1965,5,16,5/16/65,12:00:00,3,TX,48,44,2,0,0,2,0,30.5,-99,0,0,0.2,10,1,1,1,171,0,0,0,0
8275,346,1965,5,17,5/17/65,1:30:00,3,TX,48,45,1,0,0,2,0,30.3,-97.75,0,0,0.1,10,1,1,1,453,0,0,0,0
8276,347,1965,5,17,5/17/65,14:56:00,3,TX,48,46,0,0,0,0,0,30.55,-96.3,0,0,0.1,10,1,1,1,41,0,0,0,0
8277,348,1965,5,17,5/17/65,15:55:00,3,TX,48,47,0,0,0,0,0,30.12,-104.28,0,0,0.1,10,1,1,1,377,0,0,0,0
8278,349,1965,5,17,5/17/65,15:55:00,3,TX,48,48,0,0,0,0,0,30.45,-104.28,0,0,0.1,10,1,1,1,377,0,0,0,0
8279,350,1965,5,18,5/18/65,5:51:00,3,TX,48,49,2,0,0,3,0,28.3,-97.27,28.37,-97.1,11.2,100,1,1,1,391,0,0,0,0
8280,351,1965,5,18,5/18/65,6:55:00,3,TX,48,50,2,0,0,3,0,30,-97.17,0,0,1,17,1,1,1,21,0,0,0,0
8281,352,1965,5,18,5/18/65,7:13:00,3,TX,48,51,0,0,0,0,0,30.42,-97.57,0,0,1,10,1,1,1,453,0,0,0,0
8282,353,1965,5,18,5/18/65,9:00:00,3,TX,48,52,0,0,0,2,0,28.82,-97.72,0,0,1.5,10,1,1,1,255,0,0,0,0
8283,354,1965,5,18,5/18/65,12:00:00,3,TX,48,53,2,0,0,3,0,29.27,-97.77,0,0,0.5,10,1,1,1,177,0,0,0,0
8284,355,1965,5,18,5/18/65,12:00:00,3,TX,48,54,0,0,0,3,0,29.27,-97.77,0,0,0.1,10,1,1,1,177,0,0,0,0
8289,360,1965,5,18,5/18/65,21:00:00,3,TX,48,55,2,0,0,0,0,29.12,-98.33,0,0,0.1,50,1,1,1,493,0,0,0,0
8292,363,1965,5,18,5/18/65,22:15:00,3,TX,48,56,2,0,0,3,0,27.93,-98.25,0,0,0.3,200,1,1,1,131,0,0,0,0
8293,364,1965,5,19,5/19/65,15:47:00,3,TX,48,57,0,0,0,0,0,34.15,-99.2,0,0,0.8,17,1,1,1,487,0,0,0,0
8371,442,1965,5,25,5/25/65,17:00:00,3,TX,48,58,0,0,0,2,0,33.9,-100.93,33.92,-100.78,8.7,50,1,1,1,345,0,0,0,0
8379,450,1965,5,25,5/25/65,19:00:00,3,TX,48,59,2,1,0,5,0,32.15,-100.68,0,0,2,200,1,1,1,335,0,0,0,0
8382,453,1965,5,25,5/25/65,19:40:00,3,TX,48,60,0,0,0,0,0,36.05,-100.42,0,0,0.1,10,1,1,1,211,0,0,0,0
8419,490,1965,6,2,6/2/65,21:00:00,3,TX,48,61,4,76,4,4,0,33.9,-102.15,34.22,-101.58,39.3,200,1,1,1,279,189,0,0,0
8430,501,1965,6,3,6/3/65,21:00:00,3,TX,48,62,0,0,0,0,0,35.82,-101.45,0,0,0.2,17,1,1,1,233,0,0,0,0
8431,502,1965,6,3,6/3/65,22:00:00,3,TX,48,63,3,0,0,5,0,34.85,-100.2,34.92,-100.07,8.8,10,1,1,1,87,0,0,0,0
8432,503,1965,6,4,6/4/65,14:42:00,3,TX,48,64,0,0,0,0,0,34.47,-101.43,0,0,2,10,1,1,1,45,0,0,0,0
8437,508,1965,6,4,6/4/65,21:00:00,3,TX,48,65,3,1,1,4,0,35.32,-100.15,35.32,-100.03,6.8,50,1,1,1,483,0,0,0,0
8438,509,1965,6,4,6/4/65,21:00:00,3,TX,48,66,0,0,0,0,0,32.7,-100.63,0,0,1.5,10,1,1,1,151,0,0,0,0
8446,517,1965,6,5,6/5/65,22:00:00,3,TX,48,67,3,0,0,0,0,27.23,-97.73,0,0,1,100,1,1,1,261,0,0,0,0
8450,521,1965,6,6,6/6/65,19:30:00,3,TX,48,68,2,0,0,0,0,30.58,-99.3,0,0,1,200,1,1,1,319,0,0,0,0
8461,532,1965,6,8,6/8/65,16:50:00,3,TX,48,69,2,8,0,4,0,32.9,-102.17,32.9,-101.83,19.4,17,1,1,1,115,0,0,0,0
8465,536,1965,6,9,6/9/65,15:00:00,3,TX,48,71,2,0,0,3,0,33.87,-102.8,34.17,-102.77,20.8,10,1,1,1,17,0,0,0,0
8466,537,1965,6,9,6/9/65,15:00:00,3,TX,48,72,0,0,0,0,0,36.37,-100.78,0,0,0.5,17,1,1,1,357,0,0,0,0
8468,539,1965,6,9,6/9/65,17:00:00,3,TX,48,70,1,0,0,3,0,34.38,-102.6,0,0,1.5,33,1,1,1,369,0,0,0,0
8469,540,1965,6,9,6/9/65,17:00:00,3,TX,48,73,2,0,0,3,0,33.72,-102.77,33.83,-102.65,10.4,10,1,1,1,79,0,0,0,0
8470,541,1965,6,9,6/9/65,20:00:00,3,TX,48,74,2,0,0,2,0,35.87,-101.67,0,0,0.2,17,1,1,1,341,0,0,0,0
8472,543,1965,6,10,6/10/65,13:00:00,3,TX,48,75,0,0,0,0,0,31.88,-102.98,0,0,0.1,17,1,1,1,495,0,0,0,0
8473,544,1965,6,10,6/10/65,13:30:00,3,TX,48,76,0,0,0,0,0,34.43,-101.92,0,0,0.1,17,1,1,1,437,0,0,0,0
8480,551,1965,6,10,6/10/65,21:00:00,3,TX,48,77,0,0,0,0,0,34.32,-101.9,0,0,0.5,17,1,1,1,189,0,0,0,0
8481,552,1965,6,10,6/10/65,21:00:00,3,TX,48,78,2,0,0,0,0,34.18,-101.77,0,0,0.5,10,1,1,1,189,0,0,0,0
8491,562,1965,6,14,6/14/65,17:15:00,3,TX,48,79,2,0,0,3,0,35.87,-101.7,0,0,0.1,10,1,1,1,341,0,0,0,0
8514,585,1965,6,21,6/21/65,18:30:00,3,TX,48,80,1,0,0,4,0,29.35,-98.45,0,0,0.3,17,1,1,1,29,0,0,0,0
8527,598,1965,6,23,6/23/65,20:15:00,3,TX,48,81,2,0,0,4,0,32.62,-97.53,0,0,0.1,17,1,1,1,251,0,0,0,0
8535,606,1965,6,25,6/25/65,19:00:00,3,TX,48,82,0,0,0,0,0,35.83,-101.47,0,0,0.1,17,1,1,1,233,0,0,0,0
8536,607,1965,6,25,6/25/65,19:30:00,3,TX,48,83,1,0,0,0,0,33.42,-102.27,33.38,-102.32,3.8,17,1,1,1,219,0,0,0,0
8537,608,1965,6,25,6/25/65,19:30:00,3,TX,48,84,1,0,0,0,0,34.53,-102.05,34.67,-101.87,13.9,10,1,1,1,69,437,0,0,0
8571,642,1965,7,5,7/5/65,10:35:00,3,TX,48,85,1,0,0,2,0,29.9,-93.92,0,0,1,10,1,1,1,245,0,0,0,0
8644,715,1965,7,28,7/28/65,15:00:00,3,TX,48,86,0,0,0,0,0,34.07,-102.57,0,0,1.5,50,1,1,1,279,0,0,0,0
8654,725,1965,8,6,8/6/65,20:45:00,3,TX,48,87,2,0,0,3,0,33.77,-96.68,0,0,0.5,17,1,1,1,181,0,0,0,0
8658,729,1965,8,8,8/8/65,20:20:00,3,TX,48,88,0,0,0,0,0,33.87,-101.72,0,0,0.1,17,1,1,1,189,0,0,0,0
8660,731,1965,8,9,8/9/65,17:00:00,3,TX,48,89,2,0,0,0,0,31.1,-97.42,0,0,0.5,10,1,1,1,27,0,0,0,0
8662,733,1965,8,10,8/10/65,14:15:00,3,TX,48,90,0,0,0,0,0,28.32,-98.03,0,0,1,880,1,1,1,297,0,0,0,0
8663,734,1965,8,10,8/10/65,15:30:00,3,TX,48,91,2,0,0,0,0,30.13,-102.4,0,0,0.5,10,1,1,1,443,0,0,0,0
8666,737,1965,8,15,8/15/65,13:00:00,3,TX,48,92,0,0,0,0,0,34,-102.42,0,0,0.1,10,1,1,1,279,0,0,0,1
8679,750,1965,8,24,8/24/65,14:25:00,3,TX,48,93,0,0,0,0,0,30.27,-93.75,0,0,0.1,10,1,1,1,351,0,0,0,0
8700,771,1965,8,28,8/28/65,14:30:00,3,TX,48,94,2,0,0,0,0,29.85,-97.62,0,0,0.5,10,1,1,1,55,0,0,0,0
8705,776,1965,8,31,8/31/65,16:00:00,3,TX,48,95,2,0,0,0,0,32.75,-100.37,0,0,2,20,1,1,1,151,0,0,0,0
8737,808,1965,9,18,9/18/65,14:00:00,3,TX,48,96,2,0,0,4,0,28.65,-98.18,0,0,1.5,880,1,1,1,297,13,0,0,0
8762,833,1965,9,21,9/21/65,18:00:00,3,TX,48,97,3,0,0,5,0,30.3,-101.8,0,0,10,10,1,1,1,443,0,0,0,0
8764,835,1965,9,22,9/22/65,3:55:00,3,TX,48,98,3,0,0,4,0,32.6,-94.75,0,0,0.1,100,1,1,1,459,0,0,0,0
8766,837,1965,9,22,9/22/65,11:30:00,3,TX,48,99,3,0,0,0,0,30.22,-95.73,0,0,0.8,10,1,1,1,339,0,0,0,0
8780,851,1965,10,17,10/17/65,15:00:00,3,TX,48,100,2,0,0,0,0,33.6,-102.17,0,0,0.2,20,1,1,1,219,0,0,0,0
8781,852,1965,10,17,10/17/65,15:00:00,3,TX,48,101,3,0,0,4,0,33.92,-102.43,0,0,0.2,17,1,1,1,219,0,0,0,0
8782,853,1965,10,17,10/17/65,15:00:00,3,TX,48,102,1,0,0,0,0,33.82,-102.15,0,0,0.1,50,1,1,1,219,0,0,0,0
8783,854,1965,10,18,10/18/65,15:00:00,3,TX,48,103,1,0,0,0,0,28.9,-97.9,0,0,0.2,17,1,1,1,255,0,0,0,0
8784,855,1965,10,18,10/18/65,15:00:00,3,TX,48,104,1,0,0,0,0,28.9,-97.9,0,0,0.2,17,1,1,1,255,0,0,0,0
8785,856,1965,10,18,10/18/65,17:30:00,3,TX,48,105,1,0,0,2,0,26.22,-98.45,26.22,-98.42,2.3,10,1,1,1,215,0,0,0,0
8820,891,1965,12,11,12/11/65,17:45:00,3,TX,48,106,1,0,0,2,0,33.03,-94.2,0,0,0.2,33,1,1,1,67,0,0,0,0
8821,892,1965,12,11,12/11/65,18:15:00,3,TX,48,107,2,2,0,0,0,32.45,-94.35,32.5,-94.35,3.4,10,1,1,1,203,0,0,0,0
8826,897,1965,12,23,12/23/65,17:45:00,3,TX,48,108,0,0,0,0,0,33.18,-101.63,0,0,0.5,10,1,1,1,305,0,0,0,0
8829,3,1966,2,8,2/8/66,18:55:00,3,TX,48,1,1,0,0,3,0,29.27,-99.85,0,0,0.5,300,1,1,1,463,0,0,0,0
8830,4,1966,2,8,2/8/66,21:00:00,3,TX,48,2,0,0,0,0,0,33.62,-97.08,0,0,0.8,23,1,1,1,97,0,0,0,0
8833,7,1966,2,9,2/9/66,22:55:00,3,TX,48,3,3,0,0,4,0,28.97,-96.67,0,0,2,33,1,1,1,239,0,0,0,0
8834,8,1966,2,10,2/10/66,2:15:00,3,TX,48,4,1,0,0,0,0,30.1,-93.73,0,0,2,50,1,1,1,361,0,0,0,0
8867,41,1966,3,28,3/28/66,2:30:00,3,TX,48,5,3,0,0,4,0,29.45,-96.33,29.38,-96.2,9.3,1760,1,1,1,89,0,0,0,0
8872,46,1966,4,10,4/10/66,17:00:00,3,TX,48,6,1,0,0,0,0,33.47,-98.85,0,0,2,27,1,1,1,9,0,0,0,0
8873,47,1966,4,10,4/10/66,17:00:00,3,TX,48,7,1,0,0,0,0,33.38,-98.75,0,0,1,20,1,1,1,503,0,0,0,0
8874,48,1966,4,10,4/10/66,17:00:00,3,TX,48,8,2,0,0,0,0,33.35,-98.58,0,0,1,133,1,1,1,503,0,0,0,0
8884,58,1966,4,14,4/14/66,4:00:00,3,TX,48,10,2,0,0,0,0,29.3,-96.1,0,0,1,33,1,1,1,481,0,0,0,0
8885,59,1966,4,14,4/14/66,19:30:00,3,TX,48,9,0,0,0,0,0,29.97,-96.5,0,0,0.5,23,1,1,1,15,0,0,0,0
8890,64,1966,4,17,4/17/66,17:15:00,3,TX,48,11,1,0,0,0,0,31.12,-99.33,31.18,-99.23,7.7,1760,1,1,1,307,0,0,0,0
8891,65,1966,4,17,4/17/66,17:30:00,3,TX,48,12,1,0,0,5,0,28.73,-100.52,28.9,-100.3,17.5,1000,1,1,1,323,0,0,0,0
8892,66,1966,4,17,4/17/66,18:45:00,3,TX,48,13,0,0,0,0,0,29.73,-98.48,29.73,-98.48,0.1,23,1,1,1,29,0,0,0,0
8893,67,1966,4,18,4/18/66,0:53:00,3,TX,48,14,3,0,0,0,0,29.07,-95.45,0,0,2,50,1,1,1,39,0,0,0,0
8898,72,1966,4,19,4/19/66,16:00:00,3,TX,48,15,2,0,0,3,0,32.07,-97.75,0,0,2,880,1,1,1,35,0,0,0,0
8900,74,1966,4,19,4/19/66,16:30:00,3,TX,48,16,1,0,0,0,0,32.07,-97.55,32.07,-97.55,0.1,27,1,1,1,35,0,0,0,0
8915,89,1966,4,23,4/23/66,1:05:00,3,TX,48,17,2,0,0,5,0,32.33,-95.57,32.33,-95.57,0.1,880,1,1,1,213,0,0,0,0
8916,90,1966,4,23,4/23/66,7:00:00,3,TX,48,18,0,0,0,0,0,32.9,-96,0,0,0.1,10,1,1,1,231,0,0,0,1
8918,92,1966,4,23,4/23/66,15:05:00,3,TX,48,19,1,0,0,0,0,34.15,-99.3,0,0,1,27,1,1,1,487,0,0,0,0
8920,94,1966,4,23,4/23/66,21:00:00,3,TX,48,20,2,0,0,4,0,32.95,-95.28,32.95,-95.28,0.1,23,1,1,1,499,0,0,0,0
8921,95,1966,4,25,4/25/66,0:15:00,3,TX,48,21,3,3,0,5,0,28.82,-97.87,28.82,-97.87,0.1,100,1,1,1,255,0,0,0,0
8922,96,1966,4,25,4/25/66,16:30:00,3,TX,48,22,1,0,0,3,0,32.55,-94.37,32.63,-94.27,8.3,33,1,1,1,203,0,0,0,0
8923,97,1966,4,25,4/25/66,17:30:00,3,TX,48,23,1,0,0,3,0,32.78,-95.43,0,0,2,27,1,1,1,499,0,0,0,0
8924,98,1966,4,25,4/25/66,20:05:00,3,TX,48,24,1,0,0,0,0,32.75,-94.5,32.75,-94.5,0.1,23,1,1,1,315,0,0,0,0
8941,115,1966,4,29,4/29/66,15:00:00,3,TX,48,25,1,0,0,0,0,32.27,-99.05,0,0,2,33,1,1,1,133,0,0,0,0
8946,120,1966,4,30,4/30/66,10:30:00,3,TX,48,26,0,0,0,0,0,32.17,-101.45,0,0,2,27,1,1,1,227,0,0,0,0
8956,130,1966,5,10,5/10/66,16:00:00,3,TX,48,27,2,2,0,0,0,33.93,-102.32,0,0,2,50,1,1,1,279,0,0,0,0
8957,131,1966,5,10,5/10/66,16:00:00,3,TX,48,28,2,0,0,0,0,34.08,-101.85,34.08,-101.85,0.1,33,1,1,1,189,0,0,0,0
8958,132,1966,5,10,5/10/66,16:00:00,3,TX,48,29,1,0,0,0,0,34.15,-101.78,34.15,-101.78,0.1,27,1,1,1,189,0,0,0,0
8996,170,1966,5,18,5/18/66,15:30:00,3,TX,48,30,1,0,0,3,0,30.83,-97.8,30.88,-97.7,7.1,50,1,1,1,491,0,0,0,0
8997,171,1966,5,18,5/18/66,15:30:00,3,TX,48,31,1,0,0,0,0,30.83,-97.8,30.85,-97.78,1.9,27,1,1,1,491,0,0,0,0
8998,172,1966,5,18,5/18/66,15:30:00,3,TX,48,32,2,0,0,0,0,30.83,-97.8,30.83,-97.8,0.1,27,1,1,1,491,0,0,0,0
8999,173,1966,5,18,5/18/66,15:30:00,3,TX,48,33,1,0,0,0,0,30.83,-97.8,30.85,-97.78,1.9,33,1,1,1,491,0,0,0,0
9007,181,1966,5,21,5/21/66,18:20:00,3,TX,48,34,2,0,0,0,0,29.7,-98.1,0,0,2,880,1,1,1,101,0,0,0,0
9018,192,1966,5,23,5/23/66,14:30:00,3,TX,48,35,2,0,0,4,0,33.72,-96.92,33.72,-96.92,0.1,333,1,1,1,113,0,0,0,0
9022,196,1966,5,23,5/23/66,16:00:00,3,TX,48,36,1,0,0,0,0,33.6,-96.17,33.6,-96.17,0.1,13,1,1,1,147,0,0,0,0
9023,197,1966,5,23,5/23/66,16:00:00,3,TX,48,37,1,0,0,0,0,33.6,-96.17,33.6,-96.17,0.1,23,1,1,1,147,0,0,0,0
9024,198,1966,5,23,5/23/66,16:00:00,3,TX,48,38,1,0,0,0,0,33.6,-96.17,0,0,1.5,13,1,1,1,147,0,0,0,0
9025,199,1966,5,23,5/23/66,16:00:00,3,TX,48,39,1,0,0,0,0,33.6,-96.17,0,0,0.5,13,1,1,1,147,0,0,0,0
9026,200,1966,5,23,5/23/66,16:00:00,3,TX,48,40,0,0,0,0,0,33.6,-96.17,0,0,1.5,13,1,1,1,147,0,0,0,0
9027,201,1966,5,23,5/23/66,16:00:00,3,TX,48,41,0,0,0,0,0,33.6,-96.17,0,0,0.4,13,1,1,1,147,0,0,0,0
9031,205,1966,5,23,5/23/66,17:10:00,3,TX,48,42,3,5,0,4,0,33.38,-96.07,0,0,2,100,1,1,1,231,0,0,0,0
9032,206,1966,5,23,5/23/66,17:10:00,3,TX,48,43,1,0,0,0,0,33.38,-96.07,0,0,2,50,1,1,1,231,0,0,0,0
9033,207,1966,5,23,5/23/66,17:10:00,3,TX,48,44,0,0,0,0,0,33.38,-96.07,0,0,2,60,1,1,1,231,0,0,0,0
9035,209,1966,5,23,5/23/66,18:00:00,3,TX,48,45,2,0,0,0,0,32.95,-95.28,0,0,3,33,1,1,1,499,0,0,0,0
9038,212,1966,5,23,5/23/66,21:40:00,3,TX,48,46,2,0,0,0,0,28.7,-99.83,28.85,-99.63,16,133,1,1,1,507,0,0,0,0
